Etichette di riga;Media di 828,94;Media di 11,02;Media di 10;Min di 828,94;;;;;
C101.txt;828,94;10,52888889;10;828,94;;;827,3;;0,19823522%
C102.txt;828,94;11,564;10;828,94;;;827,3;;0,19823522%
C103.txt;839,858;12,528;10;828,06;;;826,3;;1,64080842%
C104.txt;847,819;14,353;10;824,78;;;822,9;;3,02819298%
C105.txt;828,94;10,827;10;828,94;;;827,3;;0,19823522%
C106.txt;833,41;11,258;10;828,94;;;827,3;;0,73854708%
C107.txt;839,542;11,431;10;828,94;;;827,3;;1,47975341%
C108.txt;832,026;12,195;10;828,94;;;827,3;;0,57125589%
C109.txt;831,566;13,116;10;828,94;;;827,3;;0,51565333%
C201.txt;591,56;8,677;3;591,56;;;589,1;;0,41758615%
C202.txt;591,56;10,811;3;591,56;;;589,1;;0,41758615%
C203.txt;592,978;12,93;3;591,17;;;588,7;;0,72668592%
C204.txt;593,41;14,27;3;590,6;;;588,1;;0,90290767%
C205.txt;588,88;9,702;3;588,88;;;586,4;;0,42291951%
C206.txt;588,49;10,408;3;588,49;;;586;;0,42491468%
C207.txt;588,29;10,868;3;588,29;;;585,8;;0,42505975%
C208.txt;588,32;11,04;3;588,32;;;585,8;;0,43018095%
rC101.txt;1665,367;13,82;16,6;1652,36;peggio;;1619,8;;2,81312508%
rC102.txt;1506,354;13,943;14,9;1494,12;peggio;;1457,4;;3,35899547%
rC103.txt;1337,257;12,878;12,4;1307,4;meglio;;1258;;6,30023847%
rC104.txt;1196,642;15,654;11;1174,3;peggio;;1132,3;;5,68241632%
rC105.txt;1554,619;14,796;15,6;1527,43;;;1513,7;;2,70324371%
rC106.txt;1415,692;13,122;13,6;1403,44;;;1372,7;;3,13192977%
rC107.txt;1272,618;12,647;12,3;1251,75;;;1207,8;;5,36661699%
rC108.txt;1163,089;12,978;11,2;1129,1;;;1114,2;;4,38781188%
rC201.txt;1293,454;11,25;8,4;1278,04;;;1261,8;;2,50863845%
rC202.txt;1115,072;12,921;7,3;1106,15;;;1092,3;;2,08477524%
rC203.txt;948,586;12,695;4,7;938,48;;;923,7;;2,69416477%
rC204.txt;803,728;13,004;3,8;793,35;;;783,5;;2,58174856%
rC205.txt;1209,077;11,725;6,8;1157,55;;;1154;;4,77270364%
rC206.txt;1105,711;11,197;5,7;1076,75;;;1051,1;;5,19560460%
rC207.txt;1021,449;11,959;5,3;994,05;;;962,9;;6,08048603%
rC208.txt;864,065;12,34;3,4;809,41;;;776,1;;11,33423528%
Totale complessivo;961,2284195;12,23048632;8,085106383;588,29;;;;;
