Etichette di riga;Media di 866;Media di 9,39;Media di 11;Min di 866_2;;;;;;
C101.txt;868,7622222;8,447777778;11;860,21;;827,3;;0,050117517;;0,039780007
C102.txt;866,632;8,885;11;860,98;;827,3;;0,047542608;;0,040710746
C103.txt;866,367;9,527;11;864,32;;826,3;;0,048489653;;0,046012344
C104.txt;862,131;10,383;11;861,08;;822,9;;0,047674079;;0,046396889
C105.txt;865,48;8,67;11;851,77;;827,3;;0,046150127;;0,029578146
C106.txt;866,505;8,768;11;866;;827,3;;0,047389097;;0,046778678
C107.txt;874,56;8,96;11;860,21;;827,3;;0,057125589;;0,039780007
C108.txt;870,78;9,231;11;861,7;;827,3;;0,052556509;;0,041581047
C109.txt;880,013;9,878;11;867,61;;827,3;;0,06371691;;0,048724767
C201.txt;669,511;12,907;4;660,93;;589,1;;0,136498048;;0,12193176
C202.txt;671,73;13,038;4;661,92;;589,1;;0,140264811;;0,12361229
C203.txt;655,572;11,522;4;646,47;;588,7;;0,113592662;;0,098131476
C204.txt;659,207;12,966;4;653,11;;588,1;;0,120909709;;0,110542425
C205.txt;658,391;13,369;4;641,47;;586,4;;0,122767735;;0,093912005
C206.txt;663,35;13,198;4;656,92;;586;;0,131996587;;0,121023891
C207.txt;666,032;13,085;4;648,94;;585,8;;0,13696142;;0,107784227
C208.txt;652,793;11,938;4;637,19;;585,8;;0,114361557;;0,087726186
rC101.txt;1678,609;10,08;17;1654,54;;1619,8;;0,036306334;;0,021447092
rC102.txt;1509;9,923;15;1498,62;;1457,4;;0,035405517;;0,028283244
rC103.txt;1355,001;9,868;13;1331,64;;1258;;0,077107313;;0,058537361
rC104.txt;1184,14;9,709;11;1164,4;;1132,3;;0,04578292;;0,028349377
rC105.txt;1581,072;10,13;16;1568,94;;1513,7;;0,044508159;;0,036493361
rC106.txt;1418,098;9,845;14;1397,32;;1372,7;;0,033072048;;0,017935456
rC107.txt;1287,863;9,808;13;1254,38;;1207,8;;0,066288293;;0,038565988
rC108.txt;1165,573;9,895;12;1156,88;;1114,2;;0,046107521;;0,038305511
rC201.txt;1289,171;9,278;9;1276,44;;1261,8;;0,021692027;;0,011602473
rC202.txt;1131,598;10,007;8;1114,35;;1092,3;;0,035977296;;0,020186762
rC203.txt;954,779;10,452;5;937,8;;923,7;;0,033646205;;0,015264696
rC204.txt;806,835;11,851;4;800,57;;783,5;;0,029783025;;0,021786854
rC205.txt;1180,531;9,73;8;1175,1;;1154;;0,022990468;;0,018284229
rC206.txt;1084,523;9,708;6;1057,83;;1051,1;;0,031798116;;0,006402816
rC207.txt;1003,643;10,339;5;991,25;;962,9;;0,042312805;;0,02944231
rC208.txt;798,55;10,795;5;782,7;;776,1;;0,028926685;;0,008504059
Totale complessivo;986,6238906;10,49683891;8,841945289;637,19;;;;;;
